Date,Strategy Name,Percentage
2021-08-05,SNR + Stochastic Oscillator,73
2021-08-05,SNR + Stochastic Oscillator,85
2021-08-05,SNR + Stochastic Oscillator,100
2021-08-05,SNR + Stochastic Oscillator,69
2021-08-05,SNR + Stochastic Oscillator,75
2021-08-05,"TradingView STO RSI,STO DMI,Bollinger",83
2021-08-05,"TradingView STO RSI,STO DMI,Bollinger",85
2021-08-05,SNR + Stochastic Oscillator,85
2021-08-05,"TradingView STO RSI,STO DMI,Bollinger",73
2021-08-06,"TradingView STO RSI,STO DMI,Bollinger",76
2021-08-06,SNR + Stochastic Oscillator,85
2022-01-03,SNR + Stochastic Oscillator,0
